File,Parsed,ProgramID,Format,LOC,Paragraphs,DataItems,Rules,Conditional,Computational,Validation,AvgConfidence,Tables,TablesComplete,Error
CBPAUP0C.cbl,True,True,free,386,17,61,9,5,4,0,0.544,5,3,
COPAUA0C.cbl,True,True,free,1026,42,116,26,16,10,0,0.725,15,10,
COPAUS0C.cbl,True,True,free,1032,20,86,28,22,3,3,0.761,21,18,
COPAUS1C.cbl,True,True,free,604,15,81,15,14,0,1,0.730,13,10,
COPAUS2C.cbl,True,True,free,244,2,32,1,0,1,0,0.500,0,0,
DBUNLDGS.CBL,True,True,fixed,366,15,63,5,2,2,1,0.600,2,0,
PAUDBLOD.CBL,True,True,fixed,369,17,71,14,7,0,7,0.586,7,3,
PAUDBUNL.CBL,True,True,fixed,317,11,63,13,6,2,5,0.562,6,2,
COBTUPDT.cbl,True,True,fixed,237,9,17,4,4,0,0,0.462,4,1,
COTRTLIC.cbl,True,True,fixed,2098,56,222,58,50,6,2,0.716,47,21,
COTRTUPC.cbl,True,True,fixed,1702,63,141,35,31,4,0,0.744,30,15,
COACCT01.cbl,True,True,fixed,620,13,95,11,5,6,0,0.582,4,4,
CODATE01.cbl,True,True,fixed,524,13,66,9,3,6,0,0.550,3,3,
CBACT01C.cbl,True,True,fixed,430,16,66,1,1,0,0,0.450,1,0,
CBACT02C.cbl,True,True,free,178,5,22,0,0,0,0,0.000,0,0,
CBACT03C.cbl,True,True,free,178,5,22,0,0,0,0,0.000,0,0,
CBACT04C.cbl,True,True,free,652,22,89,13,9,4,0,0.700,9,8,
CBCUS01C.cbl,True,True,free,178,5,22,0,0,0,0,0.000,0,0,
CBEXPORT.cbl,True,True,free,582,21,41,29,16,13,0,0.474,16,0,
CBIMPORT.cbl,True,True,free,487,16,35,20,15,5,0,0.485,15,1,
CBSTM03A.CBL,True,True,free,924,25,127,10,7,3,0,0.500,7,5,
CBSTM03B.CBL,True,True,free,230,14,39,3,3,0,0,0.467,3,1,
CBTRN01C.cbl,True,True,free,494,18,55,4,2,0,2,0.712,2,0,
CBTRN02C.cbl,True,True,free,731,26,91,3,2,1,0,0.600,2,2,
CBTRN03C.cbl,True,True,free,649,26,63,40,29,11,0,0.711,27,25,
COACTUPC.cbl,True,True,free,4236,85,547,80,71,5,4,0.699,70,52,
COACTVWC.cbl,True,True,free,941,35,90,24,23,0,1,0.723,22,8,
COADM01C.cbl,True,True,free,288,8,16,7,6,0,1,0.636,5,3,
COBIL00C.cbl,True,True,free,572,16,36,17,15,2,0,0.618,13,10,
COBSWAIT.cbl,True,True,fixed,41,0,2,0,0,0,0,0.000,0,0,
COCRDLIC.cbl,True,True,free,1459,39,122,43,35,4,4,0.756,33,22,
COCRDSLC.cbl,True,True,free,887,34,85,18,16,0,2,0.742,15,6,
COCRDUPC.cbl,True,True,free,1560,45,169,31,29,0,2,0.769,28,13,
COMEN01C.cbl,True,True,free,308,7,16,8,7,0,1,0.606,6,4,
CORPT00C.cbl,True,True,free,649,10,56,27,20,7,0,0.556,18,9,
COSGN00C.cbl,True,True,free,260,6,14,5,5,0,0,0.620,5,4,
COTRN00C.cbl,True,True,free,699,16,32,27,21,5,1,0.689,20,12,
COTRN01C.cbl,True,True,free,330,9,26,5,5,0,0,0.550,4,3,
COTRN02C.cbl,True,True,free,783,18,42,26,21,5,0,0.635,19,15,
COUSR00C.cbl,True,True,free,695,16,36,23,17,5,1,0.657,15,11,
COUSR01C.cbl,True,True,free,299,9,12,5,5,0,0,0.620,4,4,
COUSR02C.cbl,True,True,free,414,11,24,8,8,0,0,0.562,6,6,
COUSR03C.cbl,True,True,free,359,11,24,6,6,0,0,0.583,5,5,
CSUTLDTC.cbl,True,True,free,157,2,40,1,1,0,0,1.000,1,1,
